# Estimated Coulombstress in Roof region of gallery in Morsleben (from Dirk Becker) (see Dahm, 2022, fig 7)
# Coulombstress_in_Pa   day_since_filling
1813656.44  37.312
1828490.32  37.354
1843421.13  37.396
1858296.88  37.438
1873496.32  37.479
1889022.89  37.521
1904764.52  37.562
1920609.16  37.604
1936444.76  37.646
1952159.37  37.688
1967940.16  37.729
1983915.38  37.771
1999918.78  37.812
2015784.10  37.854
2031345.08  37.896
2046435.48  37.938
2060943.36  37.979
2075022.35  38.021
2088761.99  38.062
2102235.39  38.104
2115515.70  38.146
2128676.02  38.188
2141793.56  38.229
2155020.46  38.271
2168276.53  38.312
2181387.42  38.354
2194178.75  38.396
2206476.15  38.438
2218105.28  38.479
2229163.93  38.521
2240127.34  38.562
2250945.75  38.604
2261549.37  38.646
2271868.44  38.688
2281833.17  38.729
2291373.81  38.771
2300420.56  38.812
2308903.67  38.854
2316753.34  38.896
2323899.91  38.938
2330601.20  38.979
2337123.54  39.021
2343440.54  39.062
2349525.81  39.104
2355352.96  39.146
2360895.58  39.188
2366127.29  39.229
2371021.69  39.271
2375552.38  39.312
2379692.97  39.354
2383417.07  39.396
2386698.28  39.438
2389534.54  39.479
2392008.45  39.521
2394202.30  39.562
2396197.50  39.604
2398075.45  39.646
2399917.56  39.688
2401805.24  39.729
2403819.91  39.771
2406042.98  39.812
2408143.01  39.854
2409813.92  39.896
2411397.94  39.938
2412893.44  39.979
2414418.00  40.021
2416061.49  40.062
2417096.07  40.104
2417740.82  40.146
2417747.12  40.188
2417384.89  40.229
2416432.40  40.271
2414407.29  40.312
2409654.15  40.354
2398813.57  40.396
2377097.49  40.438
2338685.30  40.479
2298797.36  40.521
2269005.23  40.562
2244475.37  40.604
2223712.36  40.646
2204335.60  40.688
2183733.81  40.729
2161504.50  40.771
2141803.12  40.812
2128586.46  40.854
2118011.38  40.896
2109929.76  40.938
2106698.72  40.979
2106855.44  41.021
2107212.31  41.062
2107596.12  41.104
2107833.69  41.146
2106527.02  41.188
2100501.67  41.229
2090684.21  41.271
2078266.27  41.312
2064439.44  41.354
2050395.34  41.396
2036627.85  41.438
2018126.51  41.479
1996122.48  41.521
1973686.87  41.562
1953890.76  41.604
1939805.27  41.646
1934461.27  41.688
1933652.54  41.729
1932940.66  41.771
1932323.06  41.812
1931797.16  41.854
1931360.39  41.896
1931010.18  41.938
1930743.96  41.979
1930559.16  42.021
1930453.20  42.062
1930425.60  42.104
1930681.56  42.146
1931261.46  42.188
1932027.76  42.229
1932842.96  42.271
1933569.54  42.312
1934069.98  42.354
1934125.74  42.396
1930909.87  42.438
1924094.83  42.479
1915071.21  42.521
1905229.62  42.562
1895960.67  42.604
1888654.98  42.646
1884377.00  42.688
1880904.77  42.729
1877669.23  42.771
1874849.67  42.812
1872625.37  42.854
1871175.64  42.896
1870684.78  42.938
1874946.49  42.979
